# Rayleigh ZZ
# 75710 station pairs
# Periods:                         2.5   20.0
# lat1    lon1   lat2    lon2    ttime  ttime std
45.9218  9.0417 43.4764 10.5787    nan  90.95 0.1
46.4075 13.3540 46.5256 18.2647    nan 108.68 0.1
44.0260 10.4821 48.6539  8.4941    nan 163.93 0.1
44.5359 10.5961 46.3778 11.9822    nan  69.54 0.1
46.9811 13.6892 47.0433 12.3318  35.34  30.69 0.1
47.2505 15.5232 45.8806 11.8047    nan  95.81 0.1
46.0549 10.5140 48.5230 10.9333    nan  82.53 0.1
48.8591 17.6707 46.5491 13.1481    nan 127.59 0.1
46.2941 14.4433 48.7289 10.2971    nan 121.33 0.1
48.1400  9.1994 46.6408 17.3149    nan 184.77 0.1
45.8808 11.1884 46.6894 13.9606    nan  68.52 0.1
43.5236 11.2458 46.1597 17.2897    nan 166.74 0.1
48.9334 14.9936 47.8277 13.5612    nan  46.25 0.1
46.2445 13.5094 47.1501 13.9271  35.97  30.82 0.1
47.6807 16.5567 45.7753 10.6286    nan 148.58 0.1
45.6830 10.8187 46.1425 12.8085    nan  46.65 0.1
47.6807 16.5567 48.3067 11.9233    nan 101.79 0.1
46.0482 11.6497 46.4610 15.5018    nan  87.53 0.1
46.4258 12.7419 46.8199 11.2587    nan  36.16 0.1
46.6894 13.9606 46.9747 13.5114  16.12    nan 0.1
45.7753 10.6286 48.4470 18.3359    nan 192.87 0.1
46.0883 18.0999 45.6198 12.6210    nan 121.01 0.1
43.2550 12.9406 46.7444 18.9654    nan 177.99 0.1
48.1400  9.1994 45.6335 11.9713    nan 103.72 0.1
45.5043 15.2518 46.3483 11.2385    nan  94.12 0.1
46.6203 10.2636 45.3148 15.8050    nan 133.49 0.1
44.0775 11.7073 46.4630 11.3778    nan  80.52 0.1
44.9592 12.4323 46.0951 11.9840    nan  39.08 0.1
46.2987 10.5510 45.9043 11.7112    nan  29.17 0.1
46.2941 14.4433 46.6246 11.8805    nan  58.43 0.1
46.7474 12.5123 46.1425 12.8085  26.70    nan 0.1
46.8642 16.5276 44.8939  9.9098    nan 161.98 0.1
46.7566 15.8254 47.5522 11.4363    nan 102.08 0.1
44.4913 10.0658 47.3357 11.5763    nan 100.07 0.1
44.1660 10.1530 47.0703 10.2643    nan 100.64 0.1
47.1712 17.5348 46.3738 10.2493    nan 168.22 0.1
46.5584 12.9729 46.0835 10.9587    nan  47.30 0.1
47.2944  9.4918 46.3195 13.0984    nan  88.67 0.1
